Unnamed: 0,Unnamed: 1,시군구명,지역명칭,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,기준일자
0,1,광주광역시 북구,각화동,0,0,0,0,0,2023-08-01
1,2,광주광역시 북구,금곡동,0,0,0,0,0,2023-08-01
2,3,광주광역시 북구,대촌동,0,0,0,0,0,2023-08-01
3,4,광주광역시 북구,덕의동,0,0,0,0,0,2023-08-01
4,5,광주광역시 북구,동림동,1,0,1,0,0,2023-08-01
5,6,광주광역시 북구,두암동,11,3,8,0,0,2023-08-01
6,7,광주광역시 북구,망월동,0,0,0,0,0,2023-08-01
7,8,광주광역시 북구,매곡동,0,0,0,0,0,2023-08-01
8,9,광주광역시 북구,문흥동,3,1,2,0,0,2023-08-01
9,10,광주광역시 북구,본촌동,2,0,0,1,1,2023-08-01
10,11,광주광역시 북구,북동,22,2,6,12,2,2023-08-01
11,12,광주광역시 북구,삼각동,0,0,0,0,0,2023-08-01
12,13,광주광역시 북구,생용동,0,0,0,0,0,2023-08-01
13,14,광주광역시 북구,수곡동,0,0,0,0,0,2023-08-01
14,15,광주광역시 북구,신안동,11,0,5,6,0,2023-08-01
15,16,광주광역시 북구,양산동,9,5,3,1,0,2023-08-01
16,17,광주광역시 북구,연제동,9,2,4,0,3,2023-08-01
17,18,광주광역시 북구,오치동,2,1,0,0,1,2023-08-01
18,19,광주광역시 북구,용강동,0,0,0,0,0,2023-08-01
19,20,광주광역시 북구,용두동,9,1,5,0,3,2023-08-01
20,21,광주광역시 북구,용봉동,3,0,1,1,1,2023-08-01
21,22,광주광역시 북구,용전동,0,0,0,0,0,2023-08-01
22,23,광주광역시 북구,우산동,8,1,5,2,0,2023-08-01
23,24,광주광역시 북구,운암동,6,2,1,3,0,2023-08-01
24,25,광주광역시 북구,운정동,0,0,0,0,0,2023-08-01
25,26,광주광역시 북구,월출동,0,0,0,0,0,2023-08-01
26,27,광주광역시 북구,유동,6,1,2,1,2,2023-08-01
27,28,광주광역시 북구,일곡동,1,1,0,0,0,2023-08-01
28,29,광주광역시 북구,임동,17,9,4,2,2,2023-08-01
29,30,광주광역시 북구,장등동,0,0,0,0,0,2023-08-01
30,31,광주광역시 북구,중흥동,38,5,8,17,8,2023-08-01
31,32,광주광역시 북구,지야동,7,0,4,2,1,2023-08-01
32,33,광주광역시 북구,청풍동,0,0,0,0,0,2023-08-01
33,34,광주광역시 북구,충효동,0,0,0,0,0,2023-08-01
34,35,광주광역시 북구,태령동,0,0,0,0,0,2023-08-01
35,36,광주광역시 북구,풍향동,6,0,1,5,0,2023-08-01
36,37,광주광역시 북구,화암동,1,1,0,0,0,2023-08-01
37,38,광주광역시 북구,효령동,0,0,0,0,0,2023-08-01
