Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,기준일자
0,1,외발산동 216-***+ ***호,다세대주택,1종일반주거지역,37.16,2022-11-29
1,2,화곡동 424-***+ ***호,다세대주택,2종일반주거지역,36.98,2022-11-29
2,3,등촌동 365-***+ ***호,다세대주택,2종일반주거지역,34.22,2022-11-29
3,4,등촌동 365-**+ ***호,다세대주택,2종일반주거지역,35.16,2022-11-29
4,5,등촌동 530-**+ ***호,다세대주택,2종일반주거지역,36.62,2022-11-29
5,6,마곡동 327-*+ ***호,다세대주택,3종일반주거지역,36.26,2022-11-29
6,7,마곡동 327-**+ ***호,다세대주택,3종일반주거지역,38.15,2022-11-29
7,8,마곡동 327-**+ ***호,다세대주택,3종일반주거지역,31.09,2022-11-29
8,9,방화동 217-***,다세대주택,3종일반주거지역,46.51,2022-11-29
9,10,염창동 267-**+ ***호,다세대주택,준공업지역,68.57,2022-11-29
10,11,염창동 277-*+ ***호,다세대주택,2종일반주거지역,32.58,2022-11-29
11,12,화곡동 400-*+ ***호,다세대주택,2종일반주거지역,38.18,2022-11-29
12,13,화곡동 839-*+ ***호,다세대주택,2종일반주거지역,36.72,2022-11-29
13,14,화곡동 842-**+ ***호,다세대주택,3종일반주거지역,41.19,2022-11-29
14,15,화곡동 963-**+ ***호,다세대주택,1종일반주거지역,27.12,2022-11-29
15,16,화곡동 971-*+ ***호,다세대주택,2종일반주거지역,63.06,2022-11-29
16,17,마곡동 327-**+ ***호,다세대주택,3종일반주거지역,36.15,2022-11-29
17,18,공항동 14-***,단독주택,2종일반주거지역,45.62,2022-11-29
18,19,공항동 45-**,단독주택,근린상업지역,37.46,2022-11-29
19,20,방화동 612-**,단독주택,준주거지역,52.89,2022-11-29
20,21,화곡동 42-**　,단독주택,1종일반주거지역,103.61,2022-11-29
21,22,가양동 239-*　,단독주택,준공업지역,49.59,2022-11-29
22,23,공항동 14-***,단독주택,2종일반주거지역,26.45,2022-11-29
23,24,화곡동 985-*,단독주택,1종일반주거지역,96.53,2022-11-29
24,25,등촌동 69*+ ***동 ***호,아파트,3종일반주거지역,58.14,2022-11-29
25,26,등촌동 571-*+ ***호,연립주택,2종일반주거지역,50.94,2022-11-29
